PT No.;Sources;Page in Rasmussen 2003;Year BC;Locations in Rasmussen 2003;Location of the specific Prodigy based on Rasmussen 2003;GPS Coordinates;Incidence;Prodigy;Commentary A.K.;Simplicity Rule: Concept;Step 1: Basic Level Membership;Step 2: Ontological Category (Spatial Entity, Solid Object, Living Thing, Animate, Person);Step 3: Transfers (Physicality P, Biology B, Animacy A, Mentality M);Step 4: Breaches (Universals u, Spatiality s, Physicality p, Biology b, Animacy a, Mentality m);Quantified Counterintuitiveness of Concept;Concept Type (INT, CI, MCI (Tr), MCI(Br), CSCH);Quantified Counterintuitiveness of Prodigy;Prodigy Type (INT, CI, MCI (Tr), MCI(Br), CSCH);Step 2a Concept recategorization for Events;Step 2b Concept Type recategorization for Events;Step 2c Prodigy Type recategorization for Events;Concept Type recategorization according to Kavanagh 2014 (CI, CSCH, INT, CI EVENT - corresponding to CI Object/Agent, CSCH Object/Agent, INT Object/Agent/Event[sic], CI Event);Prodigy Type recategorization according to Kavanagh 2014, T1 (CI, CSCH, INT, CI EVENT - corresponding to CI Object/Agent, CSCH Object/Agent, INT Object/Agent/Event[sic], CI Event);Conservative Concept Type Recategorization 1 (CI, CSCH, INT, EVENT - corresponding to CI-MCI (Br)-MCI (Tr)-MCI (Br)/CSCH-MCI (Tr)/CSCH, INT/CSCH, INT, and all events);Conservative Prodigy Type Recategorization 1, T4 (CI, CSCH, INT, EVENT - corresponding to CI-MCI (Br)-MCI (Tr)-MCI (Br)/CSCH-MCI (Tr)/CSCH, INT/CSCH, INT, and all events);Prodigy Typology T2;Prodigy Typology T3
35;"Livy 22.1.8-20; Val. Max. 1.6.5; Plut. Vit.Fab. Max. 2; Oros. 4.15.1; Macrob. Sat. 1.6.13-14";62-63;217;"Rome (Via Appia); Sicily; Sardinia; Praeneste; Arpi; Capena; Caere; Antium; Falerii; Capua";;;19;in Capua the sky seems to be on fire;"separated into 2 prodiges from ""in Capua the sky seems to be on fire and the moon seems to fall to earth during a rain shower""";sky is on fire;SKY;Spatial Entity;P;;1;MCI (Tr);1;MCI (Tr);EVENT;MCI (Tr) EVENT;MCI (Tr) EVENT;CI EVENT;CI EVENT;EVENT;EVENT;CI EVENT;CI EVENT
35;"Livy 22.1.8-20; Val. Max. 1.6.5; Plut. Vit.Fab. Max. 2; Oros. 4.15.1; Macrob. Sat. 1.6.13-14";62-63;217;"Rome (Via Appia); Sicily; Sardinia; Praeneste; Arpi; Capena; Caere; Antium; Falerii; Capua";;;19;in Capua the moon seems to fall to earth during a rain shower;"separated into 2 prodiges from ""in Capua the sky seems to be on fire and the moon seems to fall to earth during a rain shower""";moon falls during rain;MOON;Spatial Entity;;u;1;MCI (Br);1;MCI (Br);EVENT;MCI (Br) EVENT;MCI (Br) EVENT;CI EVENT;CI EVENT;EVENT;EVENT;CI EVENT;CI EVENT
35;"Livy 22.1.8-20; Val. Max. 1.6.5; Plut. Vit.Fab. Max. 2; Oros. 4.15.1; Macrob. Sat. 1.6.13-14";62-63;217;"Rome (Via Appia); Sicily; Sardinia; Praeneste; Arpi; Capena; Caere; Antium; Falerii; Capua";;;19;wooly-haired goats;;wooly-haired goats;GOATS;Animate;;;0;INT/CSCH;0;INT/CSCH;;INT/CSCH;INT/CSCH;CSCH;CSCH;CSCH;CSCH;CSCH;CSCH
35;"Livy 22.1.8-20; Val. Max. 1.6.5; Plut. Vit.Fab. Max. 2; Oros. 4.15.1; Macrob. Sat. 1.6.13-14";62-63;217;"Rome (Via Appia); Sicily; Sardinia; Praeneste; Arpi; Capena; Caere; Antium; Falerii; Capua";;;19;a hen that transforms into a cock;;hen transforms into cock;HEN;Animate;;b;1;MCI (Br);1;MCI (Br);;MCI (Br);MCI (Br);CI;CI;CI;CI;CI;CI
35;"Livy 22.1.8-20; Val. Max. 1.6.5; Plut. Vit.Fab. Max. 2; Oros. 4.15.1; Macrob. Sat. 1.6.13-14";62-63;217;"Rome (Via Appia); Sicily; Sardinia; Praeneste; Arpi; Capena; Caere; Antium; Falerii; Capua";;;19;a cock that transforms into a hen;;cock transforms into hen;COCK;Animate;;b;1;MCI (Br);1;MCI (Br);;MCI (Br);MCI (Br);CI;CI;CI;CI;CI;CI
36;"Cic. Div. 177-78; Plin. HN 2.200; Livy 22.9.7-11; Per. 22 Plut. Vit.Fab. Max. 3";63;(217);"Rome; all of Italy; several islands; Liguria; Gallia; Lake Trasimene";;;4 (legio);earthquake;;earthquake;EARTH;Spatial Entity;P;;1;MCI (Tr);1;MCI (Tr);EVENT;MCI (Tr) EVENT;MCI (Tr) EVENT;CI EVENT;CI EVENT;EVENT;EVENT;CI EVENT;CI EVENT
36;"Cic. Div. 177-78; Plin. HN 2.200; Livy 22.9.7-11; Per. 22 Plut. Vit.Fab. Max. 3";63;(217);"Rome; all of Italy; several islands; Liguria; Gallia; Lake Trasimene";;;4 (legio);Flaminius ignores unfavourable auspices;;Flaminius ignores unfavourable auspices;PERSON;Person;;;0;INT/CSCH;0;INT/CSCH;;INT/CSCH;INT/CSCH;CSCH;CSCH;CSCH;CSCH;CSCH;CSCH
36;"Cic. Div. 177-78; Plin. HN 2.200; Livy 22.9.7-11; Per. 22 Plut. Vit.Fab. Max. 3";63;(217);"Rome; all of Italy; several islands; Liguria; Gallia; Lake Trasimene";;;4 (legio);his horse stumbles and falls in front of the statue of Jupiter Stator;;horse stumbles and falls in front of a statue;HORSE;Animate;;;0;INT/CSCH;0;INT/CSCH;;INT/CSCH;INT/CSCH;CSCH;CSCH;CSCH;CSCH;CSCH;CSCH
36;"Cic. Div. 177-78; Plin. HN 2.200; Livy 22.9.7-11; Per. 22 Plut. Vit.Fab. Max. 3";63;(217);"Rome; all of Italy; several islands; Liguria; Gallia; Lake Trasimene";;;4 (legio);a standard-bearer cannot move the standard;;a standard-bearer cannot move the standard;STANDARD-BEARER;Person;;;0;INT/CSCH;0;INT/CSCH;;INT/CSCH;INT/CSCH;CSCH;CSCH;CSCH;CSCH;CSCH;CSCH
37;"Livy 22.36.6-9; (cf. Cass. Dio 15 in Zon.9.33)";64;216;"Rome (Aventine; road to Campus Martius); Aricia; Sabine territory; Caere";;;5;shower of stones on the Aventine;;shower of stones on the Aventine;SHOWERS;Spatial Entity;P;;1;MCI (Tr);1;MCI (Tr);EVENT;MCI (Tr) EVENT;MCI (Tr) EVENT;CI EVENT;CI EVENT;EVENT;EVENT;CI EVENT;CI EVENT
37;"Livy 22.36.6-9; (cf. Cass. Dio 15 in Zon.9.33)";64;216;"Rome (Aventine; road to Campus Martius); Aricia; Sabine territory; Caere";;;5;shower of stones in Aricia;;shower of stones;SHOWER;Spatial Entity;P;;1;MCI (Tr);1;MCI (Tr);EVENT;MCI (Tr) EVENT;MCI (Tr) EVENT;CI EVENT;CI EVENT;EVENT;EVENT;CI EVENT;CI EVENT
37;"Livy 22.36.6-9; (cf. Cass. Dio 15 in Zon.9.33)";64;216;"Rome (Aventine; road to Campus Martius); Aricia; Sabine territory; Caere";;;5;in the Sabine territory blood drips from statues of deities;;blood drips from statues;BLOOD;Spatial Entity;;s;1;MCI (Br);1;MCI (Br);;MCI (Br);MCI (Br);CI;CI;CI;CI;CI;CI
37;"Livy 22.36.6-9; (cf. Cass. Dio 15 in Zon.9.33)";64;216;"Rome (Aventine; road to Campus Martius); Aricia; Sabine territory; Caere";;;5;in Caere there is blood in the springs;;blood in springs;BLOOD;Spatial Entity;;s;1;MCI (Br);1;MCI (Br);EVENT;MCI (Br) EVENT;MCI (Br) EVENT;CI EVENT;CI EVENT;EVENT;EVENT;CI EVENT;CI EVENT
